step,loss
100,0.358625
200,0.293733
300,0.298345
400,0.259497
500,0.254850
600,0.241564
700,0.235368
800,0.233730
900,0.227352
1000,0.229590
1100,0.235050
1200,0.219299
1300,0.216206
1400,0.211320
1500,0.188534
1600,0.202982
1700,0.197154
1800,0.213480
1900,0.194177
2000,0.202424
2100,0.182694
2200,0.204125
2300,0.183465
2400,0.179777
2500,0.196769
2600,0.187617
2700,0.202236
2800,0.189286
2900,0.187550
3000,0.183063
3100,0.193397
3200,0.191909
3300,0.182188
3400,0.176377
3500,0.185654
3600,0.182167
3700,0.173077
3800,0.176935
3900,0.191148
4000,0.179075
4100,0.166545
4200,0.185344
4300,0.178801
4400,0.179618
4500,0.175119
4600,0.161288
4700,0.161967
4800,0.186853
4900,0.173200
5000,0.168573
5100,0.177227
5200,0.175215
5300,0.184686
5400,0.162585
5500,0.163753
5600,0.169009
5700,0.178429
5800,0.166486
5900,0.158229
6000,0.160467
6100,0.167970
6200,0.180417
6300,0.145904
6400,0.160776
6500,0.158206
6600,0.167728
6700,0.177381
6800,0.160423
6900,0.150916
7000,0.143952
7100,0.152546
7200,0.145335
7300,0.156517
7400,0.157623
7500,0.151257
7600,0.156949
7700,0.149587
7800,0.151422
7900,0.158822
8000,0.148393
8100,0.157193
8200,0.150290
8300,0.180612
8400,0.158797
8500,0.151503
8600,0.145292
8700,0.142369
8800,0.147204
8900,0.149589
9000,0.158536
9100,0.145433
9200,0.152099
9300,0.145519
9400,0.153899
9500,0.146588
9600,0.159960
9700,0.156081
9800,0.151436
9900,0.138804
10000,0.161054
10100,0.141715
10200,0.155761
10300,0.139803
10400,0.160732
10500,0.144938
10600,0.140332
10700,0.151794
10800,0.139846
10900,0.136325
11000,0.162500
11100,0.145135
11200,0.155480
11300,0.156614
11400,0.132222
11500,0.151175
11600,0.141951
11700,0.148271
11800,0.141670
11900,0.142338
12000,0.134028
12100,0.160197
12200,0.153801
12300,0.155676
12400,0.153800
12500,0.123818
12600,0.151264
12700,0.147612
12800,0.131797
12900,0.143342
13000,0.130028
13100,0.147869
13200,0.137726
13300,0.142924
13400,0.137077
13500,0.129461
13600,0.141648
13700,0.141854
13800,0.143484
13900,0.136160
14000,0.140922
14100,0.146129
14200,0.134408
14300,0.124826
14400,0.136399
14500,0.139490
14600,0.142604
14700,0.133051
14800,0.132872
14900,0.137107
15000,0.152549
15100,0.156181
15200,0.136922
15300,0.146169
15400,0.127596
15500,0.141421
15600,0.139883
15700,0.132808
15800,0.154917
15900,0.138437
16000,0.147698
16100,0.138317
16200,0.156474
16300,0.144532
16400,0.153621
16500,0.136334
16600,0.146357
16700,0.136922
16800,0.137214
16900,0.139712
17000,0.136412
17100,0.133532
17200,0.145382
17300,0.139222
17400,0.150281
17500,0.136484
17600,0.129675
17700,0.134678
17800,0.149001
17900,0.152372
18000,0.146218
18100,0.158348
18200,0.146193
18300,0.137078
18400,0.137487
18500,0.138231
18600,0.141367
18700,0.134919
18800,0.136917
18900,0.127263
19000,0.143633
19100,0.142789
19200,0.140302
19300,0.140908
19400,0.137517
19500,0.146117
19600,0.152434
19700,0.144483
19800,0.131810
19900,0.140339
20000,0.131003
20100,0.137949
20200,0.144770
20300,0.137330
20400,0.121333
20500,0.144648
20600,0.127982
20700,0.121328
20800,0.126325
20900,0.132787
21000,0.148221
21100,0.121327
21200,0.134046
21300,0.119315
21400,0.138349
21500,0.123126
21600,0.134165
21700,0.126567
21800,0.141868
21900,0.143930
22000,0.130942
22100,0.143979
22200,0.138416
22300,0.130059
22400,0.114368
22500,0.134958
22600,0.128827
22700,0.134569
22800,0.154717
22900,0.130136
23000,0.127292
23100,0.135931
23200,0.137854
23300,0.138016
23400,0.136186
23500,0.138481
23600,0.128893
23700,0.137408
23800,0.142429
23900,0.130688
24000,0.136836
24100,0.139306
24200,0.133884
24300,0.142383
24400,0.131667
24500,0.133243
24600,0.137727
24700,0.150518
24800,0.151457
24900,0.128268
25000,0.131853
25100,0.134535
25200,0.130252
25300,0.146055
25400,0.132078
25500,0.120921
25600,0.129531
25700,0.120747
25800,0.135286
25900,0.139506
26000,0.152387
26100,0.131936
26200,0.116714
26300,0.147330
26400,0.147716
26500,0.131852
26600,0.132103
26700,0.133788
26800,0.123094
26900,0.140843
27000,0.136176
27100,0.122081
27200,0.132931
27300,0.115950
27400,0.135731
27500,0.135815
27600,0.137427
27700,0.140252
27800,0.130311
27900,0.139601
28000,0.134072
28100,0.129503
28200,0.145105
28300,0.141209
28400,0.123697
28500,0.138007
28600,0.109324
28700,0.144520
28800,0.140621
28900,0.136907
29000,0.131680
29100,0.132019
29200,0.130156
29300,0.123722
29400,0.128283
29500,0.127916
29600,0.136924
29700,0.135550
29800,0.148691
29900,0.126980
30000,0.132397
30100,0.134999
30200,0.129256
30300,0.143373
30400,0.113756
30500,0.124222
30600,0.146092
30700,0.131299
30800,0.131387
30900,0.127608
31000,0.124563
31100,0.114693
31200,0.134210
31300,0.130524
31400,0.133824
31500,0.122690
31600,0.136887
31700,0.148546
31800,0.122612
31900,0.133491
32000,0.125176
32100,0.119975
32200,0.131241
32300,0.124528
32400,0.121550
32500,0.150795
32600,0.132228
32700,0.133097
32800,0.142673
32900,0.127135
33000,0.129159
33100,0.135309
33200,0.141866
33300,0.133969
33400,0.131384
33500,0.134216
33600,0.147216
33700,0.137809
33800,0.134567
33900,0.133446
34000,0.127105
34100,0.122828
34200,0.115860
34300,0.136158
34400,0.128782
34500,0.131963
34600,0.138391
34700,0.128306
34800,0.122932
34900,0.145030
35000,0.120337
35100,0.129780
35200,0.117596
35300,0.123527
35400,0.124994
35500,0.123375
35600,0.137393
35700,0.120139
35800,0.120832
35900,0.126903
36000,0.115177
36100,0.134934
36200,0.122707
36300,0.120068
36400,0.136847
36500,0.130536
36600,0.126664
36700,0.144450
36800,0.133342
36900,0.130492
37000,0.120548
37100,0.121656
37200,0.132683
37300,0.122775
37400,0.131033
37500,0.130414
37600,0.128400
37700,0.114759
37800,0.131538
37900,0.120834
38000,0.126399
38100,0.148474
38200,0.119916
38300,0.116483
38400,0.125168
38500,0.129392
38600,0.122946
38700,0.135607
38800,0.116961
38900,0.116976
39000,0.128878
39100,0.124540
39200,0.130247
39300,0.138908
39400,0.110506
39500,0.137365
39600,0.140438
39700,0.123129
39800,0.128347
39900,0.129523
40000,0.125492
40100,0.135600
40200,0.128662
40300,0.116347
40400,0.131154
40500,0.129377
40600,0.126732
40700,0.127731
40800,0.146422
40900,0.132232
41000,0.127515
41100,0.122718
41200,0.120726
41300,0.125216
41400,0.121624
41500,0.117894
41600,0.117260
41700,0.119853
41800,0.121337
41900,0.126794
42000,0.120796
42100,0.129284
42200,0.119622
42300,0.123600
42400,0.124052
42500,0.124826
42600,0.128764
42700,0.121694
42800,0.124493
42900,0.119476
43000,0.124260
43100,0.134718
43200,0.124309
43300,0.129164
43400,0.118614
43500,0.133418
43600,0.128292
43700,0.155532
43800,0.119739
43900,0.129819
44000,0.146865
44100,0.122338
44200,0.136426
44300,0.142807
44400,0.120211
44500,0.132256
44600,0.114134
44700,0.141562
44800,0.126991
44900,0.141197
45000,0.129560
45100,0.129493
45200,0.124483
45300,0.127886
45400,0.141497
45500,0.123903
45600,0.116460
45700,0.121387
45800,0.115755
45900,0.117014
46000,0.108041
46100,0.125413
46200,0.114543
46300,0.134600
46400,0.116144
46500,0.128124
46600,0.119925
46700,0.118457
46800,0.129306
46900,0.127811
47000,0.124056
47100,0.110359
47200,0.115152
47300,0.114838
47400,0.140496
47500,0.117137
47600,0.122858
47700,0.139672
47800,0.103346
47900,0.120857
48000,0.102114
48100,0.130723
48200,0.117963
48300,0.118793
48400,0.110890
48500,0.107132
48600,0.115942
48700,0.123186
48800,0.115470
48900,0.117151
49000,0.112004
49100,0.120002
49200,0.115834
49300,0.115432
49400,0.118944
49500,0.127711
49600,0.117643
49700,0.127395
49800,0.116736
49900,0.146045
50000,0.124492
50100,0.125918
50200,0.110749
50300,0.120955
50400,0.126435
50500,0.120232
50600,0.124193
50700,0.110067
50800,0.141096
50900,0.102665
51000,0.135204
51100,0.109430
51200,0.120339
51300,0.131484
51400,0.113109
51500,0.118538
51600,0.130398
51700,0.121445
51800,0.119331
51900,0.113879
52000,0.120098
52100,0.110077
52200,0.129903
52300,0.121713
52400,0.114854
52500,0.145435
52600,0.121191
52700,0.149733
52800,0.123854
52900,0.124762
53000,0.122392
53100,0.106414
53200,0.109051
53300,0.118352
53400,0.123490
53500,0.116336
53600,0.119711
53700,0.107044
53800,0.122834
53900,0.123932
54000,0.123435
54100,0.112219
54200,0.132639
54300,0.123293
54400,0.105654
54500,0.113767
54600,0.118409
54700,0.131105
54800,0.125474
54900,0.112332
55000,0.130007
55100,0.123551
55200,0.113720
55300,0.113797
55400,0.117600
55500,0.116223
55600,0.128072
55700,0.126924
55800,0.117442
55900,0.125810
56000,0.111102
56100,0.124187
56200,0.128969
56300,0.108690
56400,0.124906
56500,0.109702
56600,0.111297
56700,0.121306
56800,0.101411
56900,0.122521
57000,0.119749
57100,0.114762
57200,0.123910
57300,0.127179
57400,0.107991
57500,0.104430
57600,0.122938
57700,0.109810
57800,0.123530
57900,0.116716
58000,0.118537
58100,0.113407
58200,0.111758
58300,0.125348
58400,0.131208
58500,0.134235
58600,0.120691
58700,0.122036
58800,0.115919
58900,0.122555
59000,0.116820
59100,0.142705
59200,0.109646
59300,0.112346
59400,0.115935
59500,0.125072
59600,0.135350
59700,0.105522
59800,0.105106
59900,0.104399
60000,0.117837
60100,0.120856
60200,0.132173
60300,0.107894
60400,0.127722
60500,0.110818
60600,0.107071
60700,0.113971
60800,0.119309
60900,0.101863
61000,0.114523
61100,0.101941
61200,0.116286
61300,0.124504
61400,0.122407
61500,0.105834
61600,0.127188
61700,0.114694
61800,0.119595
61900,0.127681
62000,0.105339
62100,0.127982
62200,0.121944
62300,0.110999
62400,0.103796
62500,0.113697
62600,0.120782
62700,0.115051
62800,0.121289
62900,0.122411
63000,0.113128
63100,0.119112
63200,0.119462
63300,0.109990
63400,0.126757
63500,0.106136
63600,0.110898
63700,0.110373
63800,0.119705
63900,0.105377
64000,0.122889
64100,0.107419
64200,0.130888
64300,0.121332
64400,0.129423
64500,0.103965
64600,0.129717
64700,0.112744
64800,0.138114
64900,0.119126
65000,0.113151
65100,0.117171
65200,0.105871
65300,0.116325
65400,0.118010
65500,0.121782
65600,0.114889
65700,0.117792
65800,0.104313
65900,0.140403
66000,0.112871
66100,0.107332
66200,0.118751
66300,0.113437
66400,0.107121
66500,0.122026
66600,0.114249
66700,0.112991
66800,0.113279
66900,0.117339
67000,0.119000
67100,0.121214
67200,0.107820
67300,0.113208
67400,0.108039
67500,0.110446
67600,0.109193
67700,0.108126
67800,0.118085
67900,0.119457
68000,0.126339
68100,0.105567
68200,0.122136
68300,0.112940
68400,0.120251
68500,0.131751
68600,0.107711
68700,0.112952
68800,0.118679
68900,0.117803
69000,0.116915
69100,0.111490
69200,0.114750
69300,0.108433
69400,0.115154
69500,0.127952
69600,0.121274
69700,0.127056
69800,0.118892
69900,0.110736
70000,0.110317
70100,0.124294
70200,0.099026
70300,0.105434
70400,0.126657
70500,0.112306
70600,0.110506
70700,0.116501
70800,0.107362
70900,0.115615
71000,0.117558
71100,0.094138
71200,0.107891
71300,0.110035
71400,0.119960
71500,0.117548
71600,0.106106
71700,0.120496
71800,0.108811
71900,0.126961
72000,0.116228
72100,0.122383
72200,0.111850
72300,0.120092
72400,0.087618
72500,0.115866
72600,0.108780
72700,0.123792
72800,0.131566
72900,0.105171
73000,0.096784
73100,0.107813
73200,0.110518
73300,0.109673
73400,0.112055
73500,0.095664
73600,0.120506
73700,0.133817
73800,0.118836
73900,0.109498
74000,0.095226
74100,0.092521
74200,0.119535
74300,0.116890
74400,0.114555
74500,0.127903
74600,0.113813
74700,0.119085
74800,0.127590
74900,0.106476
75000,0.125133
75100,0.119700
75200,0.125281
75300,0.114110
75400,0.100608
75500,0.099735
