step,loss
100,0.445013
200,0.288141
300,0.269801
400,0.253223
500,0.251894
600,0.244783
700,0.240614
800,0.228991
900,0.226330
1000,0.224771
1100,0.229930
1200,0.214313
1300,0.214695
1400,0.209546
1500,0.186592
1600,0.192827
1700,0.187272
1800,0.204849
1900,0.187766
2000,0.195090
2100,0.177324
2200,0.197040
2300,0.181994
2400,0.176397
2500,0.194354
2600,0.184631
2700,0.193799
2800,0.183849
2900,0.183015
3000,0.181646
3100,0.189295
3200,0.186025
3300,0.177418
3400,0.172906
3500,0.182360
3600,0.176616
3700,0.171132
3800,0.172434
3900,0.185165
4000,0.173515
4100,0.163732
4200,0.180419
4300,0.177110
4400,0.178502
4500,0.174400
4600,0.161243
4700,0.161818
4800,0.183310
4900,0.169792
5000,0.165470
5100,0.177206
5200,0.175047
5300,0.184997
5400,0.162274
5500,0.161751
5600,0.162926
5700,0.175422
5800,0.163981
5900,0.156141
6000,0.160090
6100,0.167887
6200,0.179531
6300,0.142097
6400,0.156213
6500,0.155699
6600,0.168566
6700,0.176680
6800,0.156575
6900,0.147479
7000,0.142386
7100,0.153508
7200,0.141769
7300,0.153088
7400,0.154978
7500,0.149594
7600,0.157494
7700,0.150778
7800,0.148259
7900,0.156614
8000,0.148930
8100,0.160022
8200,0.151486
8300,0.179507
8400,0.158704
8500,0.150559
8600,0.141617
8700,0.139753
8800,0.144801
8900,0.144058
9000,0.155193
9100,0.142224
9200,0.149311
9300,0.142436
9400,0.151701
9500,0.143339
9600,0.155157
9700,0.156628
9800,0.148259
9900,0.135785
10000,0.159888
10100,0.141689
10200,0.149658
10300,0.138646
10400,0.156533
10500,0.142061
10600,0.138572
10700,0.150602
10800,0.138066
10900,0.130326
11000,0.159923
11100,0.141804
11200,0.156043
11300,0.149801
11400,0.127024
11500,0.147589
11600,0.139312
11700,0.143549
11800,0.140314
11900,0.136304
12000,0.132127
12100,0.154980
12200,0.152177
12300,0.152855
12400,0.152582
12500,0.117830
12600,0.151261
12700,0.145864
12800,0.128552
12900,0.138063
13000,0.128027
13100,0.145596
13200,0.129385
13300,0.141465
13400,0.132941
13500,0.124318
13600,0.138618
13700,0.137823
13800,0.139941
13900,0.131946
14000,0.138876
14100,0.142369
14200,0.132349
14300,0.119695
14400,0.135387
14500,0.139048
14600,0.136175
14700,0.129411
14800,0.131952
14900,0.133574
15000,0.146767
15100,0.152952
15200,0.134758
15300,0.141190
15400,0.122809
15500,0.138627
15600,0.135803
15700,0.127688
15800,0.154603
15900,0.136512
16000,0.143662
16100,0.134247
16200,0.150340
16300,0.137065
16400,0.147009
16500,0.133638
16600,0.145653
16700,0.131041
16800,0.134369
16900,0.135095
17000,0.132422
17100,0.131065
17200,0.144220
17300,0.137020
17400,0.146935
17500,0.133173
17600,0.125326
17700,0.133544
17800,0.145563
17900,0.147458
18000,0.143823
18100,0.155482
18200,0.143820
18300,0.129867
18400,0.134155
18500,0.134057
18600,0.131528
18700,0.128526
18800,0.131580
18900,0.119185
19000,0.142603
19100,0.139858
19200,0.134664
19300,0.139427
19400,0.132050
19500,0.145292
19600,0.146074
19700,0.142179
19800,0.129706
19900,0.132341
20000,0.127234
20100,0.134235
20200,0.139921
20300,0.135929
20400,0.114815
20500,0.138058
20600,0.122949
20700,0.117877
20800,0.118160
20900,0.127727
21000,0.145168
21100,0.116986
21200,0.129260
21300,0.115783
21400,0.132275
21500,0.116999
21600,0.131888
21700,0.125030
21800,0.139220
21900,0.141647
22000,0.124925
22100,0.140043
22200,0.133526
22300,0.125514
22400,0.109781
22500,0.133527
22600,0.120108
22700,0.130992
22800,0.150283
22900,0.124667
23000,0.121609
23100,0.133502
23200,0.134870
23300,0.132007
23400,0.127265
23500,0.131042
23600,0.124432
23700,0.131150
23800,0.138108
23900,0.129176
24000,0.129464
24100,0.135065
24200,0.129553
24300,0.136823
24400,0.127601
24500,0.126080
24600,0.131725
24700,0.145246
24800,0.144507
24900,0.122501
25000,0.124062
25100,0.129882
25200,0.124994
25300,0.139506
25400,0.126763
25500,0.116342
25600,0.127568
25700,0.113191
25800,0.129714
25900,0.135666
26000,0.147680
26100,0.122500
26200,0.109266
26300,0.145574
26400,0.140767
26500,0.124099
26600,0.126107
26700,0.126690
26800,0.118279
26900,0.136740
27000,0.130522
27100,0.116731
27200,0.128475
27300,0.110527
27400,0.132843
27500,0.127815
27600,0.133201
27700,0.134438
27800,0.124685
27900,0.132796
28000,0.131285
28100,0.121046
28200,0.136586
28300,0.132229
28400,0.115804
28500,0.134067
28600,0.102059
28700,0.137262
28800,0.133662
28900,0.132036
29000,0.130425
29100,0.125199
29200,0.121556
29300,0.120539
29400,0.121476
29500,0.124309
29600,0.129732
29700,0.127774
29800,0.142189
29900,0.124212
30000,0.128495
30100,0.130859
30200,0.125902
30300,0.136746
30400,0.107732
30500,0.118580
30600,0.141182
30700,0.124331
30800,0.125141
30900,0.123963
31000,0.118927
31100,0.107826
31200,0.129297
31300,0.126509
31400,0.124349
31500,0.115620
31600,0.130668
31700,0.140950
31800,0.116879
31900,0.125020
32000,0.115082
32100,0.111705
32200,0.121303
32300,0.120303
32400,0.113884
32500,0.143852
32600,0.127132
32700,0.128623
32800,0.136995
32900,0.120017
33000,0.124255
33100,0.129759
33200,0.136606
33300,0.127297
33400,0.123376
33500,0.131156
33600,0.140083
33700,0.132452
33800,0.128720
33900,0.129252
34000,0.121075
34100,0.121865
34200,0.109208
34300,0.129036
34400,0.122081
34500,0.129057
34600,0.131479
34700,0.122723
34800,0.118766
34900,0.140008
35000,0.114942
35100,0.126142
35200,0.111027
35300,0.119240
35400,0.120987
35500,0.116570
35600,0.132115
35700,0.115127
35800,0.114999
35900,0.121063
36000,0.112075
36100,0.129693
36200,0.116412
36300,0.113424
36400,0.133041
36500,0.124896
36600,0.120406
36700,0.137214
36800,0.129001
36900,0.122644
37000,0.113835
37100,0.118071
37200,0.126102
37300,0.116973
37400,0.124458
37500,0.122963
37600,0.125384
37700,0.109844
37800,0.124659
37900,0.116534
38000,0.122020
38100,0.145101
38200,0.116221
38300,0.107972
38400,0.120492
38500,0.125130
38600,0.115905
38700,0.132182
38800,0.112315
38900,0.112703
39000,0.125615
39100,0.120980
39200,0.123223
39300,0.132446
39400,0.104914
39500,0.131650
39600,0.136734
39700,0.116860
39800,0.122247
39900,0.123419
40000,0.119290
40100,0.133986
40200,0.121275
40300,0.110278
40400,0.126481
40500,0.122890
40600,0.122137
40700,0.121869
40800,0.143046
40900,0.124836
41000,0.121245
41100,0.119382
41200,0.117157
41300,0.118013
41400,0.115109
41500,0.111569
41600,0.111310
41700,0.114186
41800,0.114145
41900,0.123501
42000,0.113393
42100,0.122808
42200,0.111784
42300,0.119149
42400,0.117178
42500,0.119150
42600,0.123520
42700,0.117495
42800,0.116779
42900,0.112417
43000,0.120100
43100,0.127766
43200,0.120654
43300,0.124183
43400,0.112300
43500,0.127679
43600,0.122570
43700,0.152464
43800,0.115166
43900,0.122854
44000,0.143244
44100,0.114758
44200,0.129241
44300,0.136566
44400,0.113320
44500,0.125797
44600,0.107749
44700,0.138635
44800,0.122505
44900,0.134325
45000,0.122250
45100,0.125728
45200,0.117789
45300,0.123709
45400,0.135347
45500,0.116421
45600,0.108665
45700,0.114582
45800,0.112640
45900,0.111839
46000,0.103543
46100,0.119180
46200,0.111330
46300,0.127743
46400,0.111067
46500,0.123091
46600,0.114714
46700,0.112350
46800,0.123666
46900,0.123068
47000,0.117326
47100,0.105095
47200,0.107995
47300,0.111223
47400,0.135171
47500,0.111902
47600,0.117145
47700,0.135669
47800,0.097055
47900,0.117914
48000,0.096659
48100,0.125988
48200,0.114184
48300,0.113801
48400,0.106955
48500,0.103310
48600,0.112180
48700,0.116652
48800,0.111087
48900,0.111874
49000,0.106503
49100,0.114550
49200,0.111637
49300,0.108572
49400,0.114480
49500,0.123670
49600,0.113296
49700,0.124282
49800,0.114394
49900,0.142901
50000,0.119984
50100,0.120588
50200,0.106904
50300,0.116130
50400,0.123274
50500,0.115073
50600,0.120060
50700,0.104334
50800,0.134690
50900,0.098719
51000,0.128355
51100,0.103898
51200,0.113524
51300,0.125662
51400,0.108765
51500,0.112168
51600,0.127173
51700,0.115497
51800,0.115358
51900,0.108437
52000,0.115883
52100,0.103294
52200,0.124565
52300,0.117785
52400,0.110405
52500,0.140195
52600,0.115505
52700,0.144517
52800,0.117580
52900,0.119785
53000,0.120753
53100,0.104704
53200,0.103071
53300,0.113250
53400,0.117355
53500,0.109833
53600,0.115917
53700,0.103388
53800,0.118785
53900,0.119168
54000,0.119797
54100,0.106356
54200,0.129612
54300,0.116838
54400,0.101121
54500,0.111531
54600,0.112286
54700,0.125499
54800,0.120716
54900,0.109668
55000,0.123619
55100,0.119098
55200,0.108830
55300,0.109516
55400,0.114647
55500,0.113411
55600,0.123849
55700,0.121931
55800,0.113430
55900,0.121756
56000,0.108602
56100,0.119927
56200,0.123131
56300,0.104768
56400,0.120720
56500,0.107079
56600,0.105709
56700,0.117299
56800,0.096320
56900,0.118459
57000,0.114001
57100,0.110532
57200,0.120955
57300,0.123735
57400,0.105313
57500,0.097834
57600,0.117615
57700,0.107060
57800,0.118614
57900,0.112562
58000,0.114325
58100,0.109199
58200,0.108825
58300,0.118993
58400,0.128478
58500,0.130532
58600,0.116749
58700,0.118025
58800,0.112146
58900,0.119102
59000,0.110601
59100,0.138030
59200,0.106926
59300,0.109004
59400,0.111185
59500,0.121028
59600,0.131043
59700,0.099631
59800,0.100850
59900,0.100008
60000,0.114229
60100,0.116031
60200,0.128200
60300,0.103484
60400,0.121558
60500,0.105259
60600,0.102129
60700,0.109287
60800,0.114137
60900,0.098213
61000,0.112279
61100,0.096334
61200,0.111516
61300,0.119494
61400,0.119644
61500,0.103315
61600,0.121781
61700,0.109895
61800,0.117066
61900,0.122199
62000,0.101478
62100,0.123525
62200,0.116733
62300,0.106168
62400,0.098890
62500,0.111116
62600,0.118315
62700,0.111202
62800,0.118133
62900,0.118562
63000,0.107594
63100,0.115237
63200,0.115314
63300,0.103800
63400,0.122578
63500,0.103592
63600,0.107768
63700,0.106335
63800,0.113983
63900,0.101443
64000,0.118923
64100,0.104166
64200,0.125844
64300,0.117386
64400,0.129314
64500,0.099198
64600,0.127395
64700,0.109325
64800,0.132933
64900,0.115512
65000,0.109887
65100,0.113530
65200,0.102561
65300,0.111203
65400,0.114543
65500,0.118712
65600,0.111515
65700,0.111677
65800,0.101206
65900,0.137189
66000,0.112752
66100,0.104315
66200,0.116266
66300,0.109764
66400,0.103817
66500,0.118155
66600,0.110929
66700,0.109969
66800,0.109146
66900,0.114309
67000,0.115477
67100,0.118144
67200,0.103709
67300,0.111132
67400,0.102922
67500,0.106361
67600,0.105615
67700,0.104786
67800,0.115229
67900,0.116554
68000,0.122730
68100,0.103016
68200,0.117492
68300,0.109762
68400,0.116693
68500,0.127447
68600,0.104114
68700,0.108501
68800,0.115410
68900,0.114075
69000,0.113825
69100,0.108201
69200,0.111099
69300,0.104589
69400,0.111805
69500,0.126101
69600,0.117636
69700,0.123593
69800,0.116855
