step,loss
100,0.582684
200,0.296903
300,0.275466
400,0.265434
500,0.268315
600,0.267205
700,0.276481
800,0.268471
900,0.275033
1000,0.266844
1100,0.278696
1200,0.267514
1300,0.275914
1400,0.267549
1500,0.245256
1600,0.253215
1700,0.242846
1800,0.264056
1900,0.245897
2000,0.250080
2100,0.237973
2200,0.253137
2300,0.241531
2400,0.233059
2500,0.246408
2600,0.243441
2700,0.249335
2800,0.238073
2900,0.241006
3000,0.242506
3100,0.247270
3200,0.253830
3300,0.232590
3400,0.221226
3500,0.237451
3600,0.240269
3700,0.226285
3800,0.230817
3900,0.240223
4000,0.230111
4100,0.221693
4200,0.235282
4300,0.229819
4400,0.241452
4500,0.231987
4600,0.222084
4700,0.219695
4800,0.234379
4900,0.225953
5000,0.220942
5100,0.233332
5200,0.238789
5300,0.241421
5400,0.224249
5500,0.214339
5600,0.221763
5700,0.233942
5800,0.234746
5900,0.210568
6000,0.219182
6100,0.224564
6200,0.239870
6300,0.202923
6400,0.216190
6500,0.219846
6600,0.218466
6700,0.226296
6800,0.221206
6900,0.208292
7000,0.208425
7100,0.214188
7200,0.197365
7300,0.201786
7400,0.219286
7500,0.215925
7600,0.222276
7700,0.221318
7800,0.211567
7900,0.210805
8000,0.209341
8100,0.218197
8200,0.212879
8300,0.235235
8400,0.221133
8500,0.220119
8600,0.201287
8700,0.200353
8800,0.204124
8900,0.201946
9000,0.217478
9100,0.200391
9200,0.213898
9300,0.210412
9400,0.212620
9500,0.211624
9600,0.213252
9700,0.211347
9800,0.209038
9900,0.198193
10000,0.222862
10100,0.200561
10200,0.214790
10300,0.202698
10400,0.210545
10500,0.204368
10600,0.197335
10700,0.220114
10800,0.205841
10900,0.201358
11000,0.216642
11100,0.203609
11200,0.217713
11300,0.214078
11400,0.190046
11500,0.208715
11600,0.199038
11700,0.201772
11800,0.206709
11900,0.198931
12000,0.189751
12100,0.217107
12200,0.212797
12300,0.215908
12400,0.215710
12500,0.184088
12600,0.204313
12700,0.210803
12800,0.197142
12900,0.203011
13000,0.195106
13100,0.209623
13200,0.194020
13300,0.199343
13400,0.197006
13500,0.188039
13600,0.187223
13700,0.185443
13800,0.204320
13900,0.199741
14000,0.202867
14100,0.203836
14200,0.199810
14300,0.179488
14400,0.197045
14500,0.202257
14600,0.194949
14700,0.191075
14800,0.196894
14900,0.206943
15000,0.198337
15100,0.220653
15200,0.193078
15300,0.206995
15400,0.183278
15500,0.208412
15600,0.197779
15700,0.187079
15800,0.219888
15900,0.200612
16000,0.216438
16100,0.189981
16200,0.219672
16300,0.202203
16400,0.204965
16500,0.196368
16600,0.208586
16700,0.200791
16800,0.200146
16900,0.195906
17000,0.190989
17100,0.201279
17200,0.204471
17300,0.202745
17400,0.206260
17500,0.199598
17600,0.186781
17700,0.205234
17800,0.211089
17900,0.208344
18000,0.210134
18100,0.211934
18200,0.198509
18300,0.195769
18400,0.196961
18500,0.203411
18600,0.205105
18700,0.191138
18800,0.193587
18900,0.180167
19000,0.208102
19100,0.199748
19200,0.199224
19300,0.205073
19400,0.195254
19500,0.209028
19600,0.205283
19700,0.203249
19800,0.183824
19900,0.190733
20000,0.191375
20100,0.196764
20200,0.196174
20300,0.198798
20400,0.176075
20500,0.195534
20600,0.182631
20700,0.180416
20800,0.179103
20900,0.196105
21000,0.208361
21100,0.183083
21200,0.190194
21300,0.181502
21400,0.196888
21500,0.177901
21600,0.190411
21700,0.185036
21800,0.203469
21900,0.209550
22000,0.190393
22100,0.206600
22200,0.194421
22300,0.195963
22400,0.175316
22500,0.188720
22600,0.186577
22700,0.193222
22800,0.215198
22900,0.198739
23000,0.183962
23100,0.186052
23200,0.196993
23300,0.192554
23400,0.178865
23500,0.194122
23600,0.193472
23700,0.199395
23800,0.192148
23900,0.200098
24000,0.195695
24100,0.196761
24200,0.186443
24300,0.199045
24400,0.207359
24500,0.181212
24600,0.201367
24700,0.203719
24800,0.198895
24900,0.193718
25000,0.194506
25100,0.187677
25200,0.179274
25300,0.210673
25400,0.197892
25500,0.177172
25600,0.191243
25700,0.183960
25800,0.191029
25900,0.200290
26000,0.210227
26100,0.184188
26200,0.173196
26300,0.205744
26400,0.213473
26500,0.187143
