step,loss
100,0.559223
200,0.308000
300,0.273634
400,0.259131
500,0.262368
600,0.258827
700,0.264387
800,0.253209
900,0.255124
1000,0.246604
1100,0.254969
1200,0.240064
1300,0.243061
1400,0.232714
1500,0.209281
1600,0.214157
1700,0.205153
1800,0.222314
1900,0.202183
2000,0.208603
2100,0.189552
2200,0.210340
2300,0.194828
2400,0.188372
2500,0.205238
2600,0.197280
2700,0.203456
2800,0.194975
2900,0.193865
3000,0.193367
3100,0.198064
3200,0.197593
3300,0.188173
3400,0.180449
3500,0.190449
3600,0.185586
3700,0.181496
3800,0.180979
3900,0.193764
4000,0.183038
4100,0.171424
4200,0.185246
4300,0.183289
4400,0.187114
4500,0.183491
4600,0.169508
4700,0.170750
4800,0.189761
4900,0.175677
5000,0.172844
5100,0.184162
5200,0.181220
5300,0.189909
5400,0.171231
5500,0.166619
5600,0.170425
5700,0.180639
5800,0.172258
5900,0.163287
6000,0.167059
6100,0.172902
6200,0.184911
6300,0.149747
6400,0.163805
6500,0.162390
6600,0.172464
6700,0.181874
6800,0.161963
6900,0.153807
7000,0.149303
7100,0.159643
7200,0.148461
7300,0.158750
7400,0.162524
7500,0.157603
7600,0.163130
7700,0.158900
7800,0.154422
7900,0.161818
8000,0.156004
8100,0.166626
8200,0.157629
8300,0.183708
8400,0.165557
8500,0.157808
8600,0.149779
8700,0.145110
8800,0.151999
8900,0.150417
9000,0.162556
9100,0.147732
9200,0.156507
9300,0.149662
9400,0.157328
9500,0.150183
9600,0.160903
9700,0.160035
9800,0.153524
9900,0.143817
10000,0.166725
10100,0.147246
10200,0.156274
10300,0.144685
10400,0.164309
10500,0.148289
10600,0.144753
10700,0.157459
10800,0.145468
10900,0.137758
11000,0.164945
11100,0.148592
11200,0.162345
11300,0.158232
11400,0.133508
11500,0.153973
11600,0.145227
11700,0.150129
11800,0.146242
11900,0.141678
12000,0.138707
12100,0.161019
12200,0.158415
12300,0.158833
12400,0.158193
12500,0.124520
12600,0.157858
12700,0.150871
12800,0.136774
12900,0.144386
13000,0.135771
13100,0.151902
13200,0.135982
13300,0.146790
13400,0.138512
13500,0.128758
13600,0.144925
13700,0.143511
13800,0.144995
13900,0.137447
