step,loss
100,0.434528
200,0.403798
300,0.337829
400,0.301245
500,0.303776
600,0.283831
700,0.274492
800,0.281191
900,0.273669
1000,0.269593
1100,0.283597
1200,0.267741
1300,0.267609
1400,0.265739
1500,0.234091
1600,0.246705
1700,0.238177
1800,0.259978
1900,0.248740
2000,0.245066
2100,0.232836
2200,0.255154
2300,0.244207
2400,0.232281
2500,0.249221
2600,0.247455
2700,0.258570
2800,0.239660
2900,0.250685
3000,0.252007
3100,0.251590
3200,0.259655
3300,0.250096
3400,0.232167
3500,0.252064
3600,0.243951
3700,0.255218
3800,0.257414
3900,0.254627
4000,0.240328
4100,0.227410
4200,0.244435
4300,0.232540
4400,0.251660
4500,0.236045
4600,0.239061
4700,0.242661
4800,0.256756
4900,0.236611
5000,0.233534
5100,0.251676
5200,0.241897
5300,0.247012
5400,0.247362
5500,0.227025
5600,0.237766
5700,0.247246
5800,0.244833
5900,0.227313
6000,0.228386
6100,0.230515
6200,0.244243
6300,0.220999
6400,0.234187
6500,0.220151
6600,0.229629
6700,0.240576
6800,0.236812
6900,0.221375
7000,0.221890
7100,0.223126
7200,0.222541
7300,0.226819
7400,0.240089
7500,0.235342
7600,0.227376
7700,0.227187
7800,0.228652
7900,0.229711
8000,0.221626
8100,0.231220
8200,0.218043
8300,0.246867
8400,0.234759
8500,0.236218
8600,0.220867
8700,0.227636
8800,0.224587
8900,0.244390
9000,0.247942
9100,0.231621
9200,0.232159
9300,0.236713
9400,0.218762
9500,0.228179
9600,0.230511
9700,0.230469
9800,0.229407
9900,0.213710
10000,0.240944
10100,0.213937
10200,0.235839
10300,0.227302
10400,0.245677
10500,0.230291
10600,0.218020
10700,0.246236
10800,0.230501
10900,0.225978
11000,0.234061
11100,0.224375
11200,0.233205
11300,0.237659
11400,0.221573
11500,0.235105
11600,0.218374
11700,0.225018
11800,0.228983
11900,0.233390
12000,0.206961
12100,0.239745
12200,0.230230
12300,0.238669
12400,0.234363
12500,0.227769
12600,0.237389
12700,0.255210
12800,0.222405
12900,0.219634
13000,0.220926
13100,0.228071
13200,0.218780
13300,0.223204
13400,0.227937
13500,0.213025
13600,0.217552
13700,0.215196
13800,0.214423
13900,0.232210
14000,0.222091
14100,0.228189
14200,0.223391
14300,0.219806
14400,0.215635
14500,0.222886
14600,0.248497
14700,0.221535
14800,0.220039
14900,0.229382
15000,0.228341
15100,0.232513
15200,0.223690
15300,0.237674
15400,0.221159
15500,0.223275
15600,0.229342
15700,0.220577
15800,0.235407
15900,0.217456
16000,0.230346
16100,0.218886
16200,0.240073
16300,0.223584
16400,0.231577
16500,0.232215
16600,0.230078
16700,0.222538
16800,0.238819
16900,0.237962
17000,0.212376
17100,0.227564
17200,0.229683
17300,0.221459
17400,0.223020
17500,0.211191
17600,0.222926
17700,0.216399
17800,0.229669
17900,0.230228
18000,0.230987
18100,0.235029
18200,0.220974
18300,0.230919
18400,0.211176
18500,0.226136
18600,0.244472
18700,0.223385
18800,0.229045
18900,0.220817
19000,0.224823
19100,0.226065
19200,0.223158
19300,0.243905
19400,0.220675
19500,0.225393
19600,0.241570
19700,0.214536
19800,0.216868
19900,0.231982
