step,loss
100,0.360849
200,0.302402
300,0.316376
400,0.292352
500,0.287246
600,0.276441
700,0.289180
800,0.276012
900,0.273734
1000,0.283908
1100,0.281106
1200,0.262691
1300,0.269049
1400,0.260837
1500,0.239095
1600,0.242456
1700,0.238087
1800,0.254685
1900,0.232921
2000,0.254538
2100,0.232890
2200,0.250204
2300,0.233702
2400,0.225945
2500,0.241378
2600,0.238465
2700,0.241965
2800,0.238154
2900,0.233143
3000,0.239881
3100,0.242017
3200,0.250128
3300,0.227691
3400,0.220738
3500,0.231649
3600,0.235381
3700,0.218673
3800,0.227294
3900,0.239674
4000,0.231901
4100,0.218641
4200,0.233817
4300,0.232414
4400,0.242755
4500,0.226908
4600,0.212861
4700,0.210393
4800,0.230015
4900,0.220453
5000,0.214122
5100,0.226711
5200,0.238856
5300,0.236750
5400,0.221042
5500,0.210653
5600,0.215413
5700,0.230335
5800,0.227977
5900,0.205516
6000,0.215293
6100,0.219340
6200,0.237025
6300,0.197800
6400,0.208751
6500,0.215649
6600,0.215474
6700,0.221882
6800,0.219548
6900,0.201731
7000,0.201801
7100,0.212001
7200,0.193513
7300,0.197637
7400,0.215342
7500,0.211454
7600,0.217057
7700,0.220429
7800,0.210474
7900,0.208166
8000,0.204566
8100,0.213230
8200,0.210384
8300,0.233332
8400,0.218033
8500,0.216676
8600,0.198762
8700,0.195482
8800,0.202467
8900,0.199665
9000,0.211948
9100,0.197315
9200,0.208440
9300,0.204670
9400,0.209053
9500,0.206331
9600,0.207952
9700,0.203799
9800,0.203073
9900,0.189596
10000,0.217787
10100,0.194152
10200,0.205922
10300,0.194405
10400,0.203736
10500,0.199835
10600,0.191355
10700,0.218817
10800,0.202487
10900,0.194000
11000,0.211711
11100,0.198933
11200,0.209917
11300,0.207696
11400,0.186152
11500,0.202809
11600,0.193587
11700,0.200391
11800,0.202381
11900,0.197222
12000,0.182167
12100,0.213573
12200,0.207010
12300,0.209328
12400,0.208961
12500,0.182457
12600,0.201706
12700,0.209111
12800,0.192007
12900,0.192824
13000,0.193171
13100,0.207134
13200,0.189444
13300,0.193706
13400,0.192615
13500,0.181880
13600,0.184392
13700,0.180022
13800,0.195808
13900,0.195019
14000,0.198372
14100,0.202634
14200,0.196627
14300,0.178035
14400,0.198198
14500,0.196478
14600,0.189731
14700,0.186574
14800,0.189371
14900,0.204068
15000,0.196923
15100,0.218646
15200,0.191879
15300,0.204456
15400,0.178460
15500,0.204478
15600,0.194567
15700,0.183779
15800,0.213437
15900,0.196694
16000,0.214281
16100,0.187472
16200,0.216574
16300,0.199350
16400,0.199521
16500,0.195544
16600,0.205020
16700,0.197964
16800,0.197283
16900,0.193983
17000,0.189395
17100,0.200396
17200,0.199411
17300,0.199297
17400,0.204663
17500,0.195154
17600,0.181185
17700,0.206508
17800,0.209046
17900,0.210612
18000,0.206807
18100,0.208092
18200,0.198328
18300,0.195656
18400,0.193612
18500,0.207326
