step,loss
100,0.444432
200,0.290870
300,0.276471
400,0.265112
500,0.267218
600,0.266829
700,0.272502
800,0.265403
900,0.266420
1000,0.261091
1100,0.270627
1200,0.259558
1300,0.266763
1400,0.255219
1500,0.231427
1600,0.236136
1700,0.231770
1800,0.249512
1900,0.229887
2000,0.241843
2100,0.225293
2200,0.241591
2300,0.228218
2400,0.224553
2500,0.239703
2600,0.233557
2700,0.240517
2800,0.232458
2900,0.230548
3000,0.236329
3100,0.240830
3200,0.247292
3300,0.226040
3400,0.217638
3500,0.231876
3600,0.235419
3700,0.217884
3800,0.226415
3900,0.236880
4000,0.227405
4100,0.218884
4200,0.233110
4300,0.227051
4400,0.237619
4500,0.225423
4600,0.215072
4700,0.211008
4800,0.228568
4900,0.223288
5000,0.215676
5100,0.226699
5200,0.233778
5300,0.236456
5400,0.219818
5500,0.211042
5600,0.215636
5700,0.229144
5800,0.229333
5900,0.204976
6000,0.214244
6100,0.221320
6200,0.235760
6300,0.196525
6400,0.208731
6500,0.216482
6600,0.213319
6700,0.221695
6800,0.216755
6900,0.203495
7000,0.202485
7100,0.209324
7200,0.192806
7300,0.197906
7400,0.217268
7500,0.210706
7600,0.219546
7700,0.217779
7800,0.207078
7900,0.205596
8000,0.204769
8100,0.214225
8200,0.209615
8300,0.232808
8400,0.217329
8500,0.215164
8600,0.196040
8700,0.194021
8800,0.199856
8900,0.195496
9000,0.213614
9100,0.195488
9200,0.209261
9300,0.204484
9400,0.209151
9500,0.205919
9600,0.208679
9700,0.207385
9800,0.204660
9900,0.192270
10000,0.217984
10100,0.195258
10200,0.207776
10300,0.196094
10400,0.203432
10500,0.199261
10600,0.192304
10700,0.216320
10800,0.199074
10900,0.194459
11000,0.211680
11100,0.198674
11200,0.212843
11300,0.208448
11400,0.182737
11500,0.202780
11600,0.192206
11700,0.197302
11800,0.203162
11900,0.193726
12000,0.183985
12100,0.212059
12200,0.206153
12300,0.211002
12400,0.209597
12500,0.178369
12600,0.200636
12700,0.207899
12800,0.191701
12900,0.196054
13000,0.189835
13100,0.207181
13200,0.188986
13300,0.192432
13400,0.192793
13500,0.181576
13600,0.181697
13700,0.181905
13800,0.197821
13900,0.194482
14000,0.199062
14100,0.197933
14200,0.195891
14300,0.174785
14400,0.192916
14500,0.195745
14600,0.189254
14700,0.185369
14800,0.190873
14900,0.202396
15000,0.193111
15100,0.217423
15200,0.188360
15300,0.200711
15400,0.176910
15500,0.202723
15600,0.193004
15700,0.183502
15800,0.215505
15900,0.194027
16000,0.211151
16100,0.185509
16200,0.215253
16300,0.198742
16400,0.198259
16500,0.191181
16600,0.202667
16700,0.197561
16800,0.194809
16900,0.191681
17000,0.187874
17100,0.197562
17200,0.198719
17300,0.197412
17400,0.202398
17500,0.192106
17600,0.180606
17700,0.202066
17800,0.208163
17900,0.204869
18000,0.204707
18100,0.207116
18200,0.195888
18300,0.190200
18400,0.191804
18500,0.199230
18600,0.197793
18700,0.185454
18800,0.188256
18900,0.173302
19000,0.202669
19100,0.196285
19200,0.192205
19300,0.200212
19400,0.190154
19500,0.206048
19600,0.202714
19700,0.199375
19800,0.179214
19900,0.187800
20000,0.185641
20100,0.192327
20200,0.191017
20300,0.193106
20400,0.170958
20500,0.191080
20600,0.180343
20700,0.176308
20800,0.174016
20900,0.191432
21000,0.203185
21100,0.179029
21200,0.185401
21300,0.179083
21400,0.193173
21500,0.173107
21600,0.185333
21700,0.180251
21800,0.198720
21900,0.204113
22000,0.185003
22100,0.202672
22200,0.189202
22300,0.192739
22400,0.171387
22500,0.183995
22600,0.182182
22700,0.187689
22800,0.210248
22900,0.192772
23000,0.179866
23100,0.183916
23200,0.192958
23300,0.188794
23400,0.174362
23500,0.191547
23600,0.188498
